Participant,Age at time of interview,generation,Gender,Term 1,Term 2,Term 3,Term 4 ,Term 5,Term 6,Term 7,Term 8,Term 9,Term 10,Term 11
1,35,Millennial,1,PAIN,DIET,DIET,sensitive,cold water,headache,,,,,
2,38,Millennial,0,PAIN,steel,PAYMENT,DIET,,,,,,,
3,66,Boomer,1,PAIN,PAYMENT,,,,,,,,,
4,27,Millennial,0,preventable,PAIN,PAYMENT,,,,,,,,
5,54,Gen X,0,something wrong with tooth,born with weak teeth,need extra vitamins,dental sealing,,,,,,,
6,39,Millennial,0,TREATMENT,neutral,sticker,I don't know,,,,,,,
7,37,Millennial,0,PAIN,,,,,,,,,,
8,29,Millennial,1,routine,DIET,PAYMENT,,,,,,,,
9,24,Millennial,0,FEAR,PAIN,PAYMENT,TREATMENT,,,,,,,
10,24,Millennial,0,PAIN,tedious,EMOTION,DIET,,,,,,,
11,24,Millennial,1,nuisance,,,,,,,,,,
12,25,Millennial,0,PAIN,EMOTION ,FH,FH,,,,,,,
13,25,Millennial,1,PAIN,EMOTION ,EMOTION,HYGIENE,,,,,,,
14,30,Millennial,0,PAIN,,,,,,,,,,
15,27,Millennial,1,PAIN,PAYMENT,dentist,teeth,PAIN,extraneous,don't need it,,,,
16,56,Boomer,1,PAIN,,,,,,,,,,
17,24,Millennial,0,FEAR,PAIN,DIET,DIET,,,,,,,
18,24,Millennial,1,HYGIENE,DIET,TREATMENT,,,,,,,,
19,70,Boomer,0,TREATMENT,waited 2 years b/c of no support,TREATMENT,,,,,,,,
20,55,Gen X,1,PAIN,,,,,,,,,,
21,30,Millennial,2,digging in my teeth,PAIN,,,,,,,,,
22,41,Gen X,1,PAIN,PAIN,PAIN,,,,,,,,
23,23,Gen Z,1,TREATMENT,,,,,,,,,,
24,50,Gen X,0,PAIN,don't want it,DIET,bad teeth,,,,,,,
25,51,Gen X,1,PAIN,TREATMENT,,,,,,,,,
26,19,Gen Z,0,teeth,white,,,,,,,,,
27,43,Gen X,0,PAIN,,,,,,,,,,
28,46,Gen X,1,FEAR,FEAR,might affect someone close to you,,,,,,,,
29,61,Boomer,1,TREATMENT,PAIN,,,,,,,,,
30,67,Boomer,1,wisdom tooth,PAIN,cavities are our stomach,,,,,,,,
31,27,Millennial,1,DIET,PAIN,carie,enamel,decreasaed salivary gland secretion,HYGIENE,,,,,
32,27,Millennial,1,EMOTION,PAYMENT,TREATMENT,,,,,,,,
33,36,Millennial,1,PAIN,TREATMENT,hole,,,,,,,,
34,26,Millennial,1,PAIN,DIET,toothpick,,,,,,,,
35,27,Millennial,0,HYGIENE,,,,,,,,,,
36,19,Gen Z,1,TREATMENT,PAIN,TREATMENT,,,,,,,,
37,54,Gen X,1,TREATMENT,bad tooth,go to dentist,,,,,,,,
38,25,Millennial,1,teeth,HYGIENE,HYGIENE,cosmetics,cavities,gums,tongue,face,mouth,HYGIENE,dentist
39,25,Millennial,0,SEVERITY,PAIN,TREATMENT,,,,,,,,
40,56,Boomer,1,hole,TREATMENT,decay,rot,infection,,,,,,
41,37,Millennial,0,PAIN,PAIN,,,,,,,,,
42,37,Millennial,1,PAIN,TREATMENT,,,,,,,,,
43,38,Millennial,0,PAIN,dentist,TREATMENT,,,,,,,,
44,56,Boomer,1,PAIN,TREATMENT,saliva,HYGIENE,HEART,,,,,,
45,33,Millennial,1,HYGIENE,,,,,,,,,,
46,30,Millennial,1,dental records,PAYMENT,TREATMENT,PAYMENT,,,,,,,
47,21,Gen Z,0,EMOTION,COMMON,TREATMENT,HYGIENE,dentist,PAIN,,,,,
48,52,Gen X,1,PAIN,HYGIENE,HYGIENE,DIET,HYGIENE,,,,,,
